1  32.0283	3.300000e+00	-5.000000e+00	6.918174e-01	-4.689591e+00	1.444706e+00	-1.875055e+00	3.474687e-01	2.649320e-01	1.772605e-01	5.495203e-02	1.504928e-01	8.288221e-01	7.671100e+00	
4  28.4254	3.316342e+00	-5.357261e+00	6.474757e-01	-4.470614e+00	1.440628e+00	-1.849910e+00	3.473996e-01	2.690030e-01	1.813831e-01	5.750141e-02	1.658074e-01	8.293250e-01	7.671100e+00	
10  23.7512	3.316342e+00	-5.357261e+00	7.523186e-01	-4.323793e+00	1.389650e+00	-2.022059e+00	3.579242e-01	2.638708e-01	1.844422e-01	6.624503e-02	2.001848e-01	8.293250e-01	7.671100e+00	
5  22.3784	3.316342e+00	-5.357261e+00	7.480435e-01	-3.779301e+00	1.415647e+00	-2.269183e+00	3.731336e-01	2.712971e-01	1.965982e-01	7.532875e-02	2.580041e-01	8.293250e-01	7.671100e+00	
1  24.2269	3.316342e+00	-5.357261e+00	7.209160e-01	-3.497209e+00	1.492792e+00	-2.287450e+00	3.733419e-01	2.633760e-01	1.793328e-01	6.487608e-02	3.785445e-01	8.293250e-01	7.671100e+00	
1  24.3233	3.316342e+00	-5.357261e+00	8.732360e-01	-3.468579e+00	1.494698e+00	-2.579304e+00	3.785818e-01	2.810015e-01	1.805823e-01	6.746741e-02	3.164704e-01	8.293250e-01	7.671100e+00	
1  23.7113	3.141119e+00	-5.225992e+00	7.884003e-01	-3.532280e+00	1.467265e+00	-2.517862e+00	3.685519e-01	2.899478e-01	1.852140e-01	6.145448e-02	3.087056e-01	8.315135e-01	7.671100e+00	
1  22.5999	3.217274e+00	-5.506387e+00	7.914456e-01	-3.366688e+00	1.474892e+00	-2.524579e+00	3.722608e-01	2.892350e-01	1.861494e-01	6.535511e-02	3.215252e-01	8.319836e-01	7.671100e+00	
2  23.9876	3.217274e+00	-5.506387e+00	6.535787e-01	-3.445650e+00	1.417254e+00	-3.324026e+00	3.737619e-01	3.015751e-01	1.960228e-01	8.291902e-02	2.060297e-01	8.319836e-01	7.671100e+00	
2  23.1574	3.217274e+00	-5.506387e+00	6.707412e-01	-3.336741e+00	1.412659e+00	-4.036664e+00	3.749760e-01	3.349116e-01	2.025197e-01	8.184687e-02	4.142104e-01	8.319836e-01	7.671100e+00	
4  22.3171	3.217274e+00	-5.506387e+00	5.606802e-01	-3.351905e+00	1.334253e+00	-4.131720e+00	3.736665e-01	3.453727e-01	2.280011e-01	8.258970e-02	4.384109e-01	8.319836e-01	7.671100e+00	
